atc,nameen,ddd,administration_route
D08AE04,triclosan,,
C03B,"low-ceiling diuretics, excl. thiazides",,
C02LA51,"reserpine and diuretics, combinations with other drugs",,
R03BB05,aclidinium bromide,0.644,Inhal
J01MB07,flumequine,1.2,O
D11AG03,witch hazel leaves and bark,,
M05BB06,"alendronic acid and alfacalcidol, sequential",10,O
M03AC05,hexafluronium,,
J07CA11,diphtheria-hemophilus influenzae b-pertussis-tetanus-hepatitis b,,
D06BA51,"silver sulfadiazine, combinations",,
M04AB04,isobromindione,,
V08EA,fluorescent contrast agent,,
C02LN,serotonin antagonists and diuretics,,
N01BH20,mixes,,
N02BE03,phenacetin,1.8,O
J04AM04,thioacetazone and isoniazid,,
G04CA05,doxazosin,6,O
M02BA,hyperamizing balneotherapeutic antirheumatic agents,,
R07AX02,ivacaftor,0.3,O
D08AF,nitrofuran derivatives,,
J07AP10,"typhoid, combinations with paratyphi types",,
J01A,tetracyclines,,
G04CH20,mixes,,
S02DH50,combinations with other agents,,
B03AE10,various combinations,,
G03AA15,chlormadinone and ethinylestradiol,,
S01FA03,methylscopolamine,,
J05AF02,didanosine,0.4,O
H01B,posterior pituitary lobe hormones,,
V90C,"""stucculation according to item 3, technical plant according to  300 sgb v""",,
S01EC03,dorzolamide,0.3,
N05AB,phenothiazines with piperazine structure,,
A10AE06,insulin degludec,40,P
A06AD02,magnesium oxide,7,O
N03AB04,mephenytoin,0.4,O
M09AP30,mixes,,
N05CD03,flunitrazepam,1,O
A09AB04,citric acid,2,O
R03DB06,etamiphylline and adrenergics,,
R05CB52,"bromhexine, combinations",,
V90N,billing of l-polamidone single doses,,
J01XX02,xibornol,,
D07AC16,hydrocortisone aceponate,,
H02AB56,prednisolone depot,10,P
A01AC03,hydrocortisone,,
L01XC21,ramucirumab,,
P01BF03,artesunate and amodiaquine,,
V09IX04,fludeoxyglucose (18f),,
M02AP,herbal preparations against muscle and joint pain for topical application,,
A14AA01,androstanolone,,
M02BX03,fango,,
L01XX41,eribulin,,
A10BX01,guar gum,,
R06AX32,sequifenadine,,
A10BX05,pramlintide,,
L03AX23,levamisole,,
D09AC,other bandages,,
M05BA08,zoledronic acid,4,P
H01BA04,terlipressin,12,P
G02CB02,lisuride,0.6,O
A07BB,bismuth preparations,,
N02AG,opioids in combination with antispasmodics,,
N05CM19,suvorexant,,
D08AA01,ethacridine lactate,,
D07AC17,fluticasone,,
N06AA04,clomipramine,0.1,O
N01AB06,isoflurane,,
G04CA52,tamsulosin and dutasteride,,
C02A,"antiadrenergic agents, centrally acting",,
C04BA03,"raubasin, combinations",,
S01AB20,mixes,,
G04CP06,sage palm fruit**,"1,5",O
D08AC01,dibrompropamidine,,
L01XE27,ibrutinib,,
A07FA52,"saccharomyces boulardii, combinations",,
J06BA01,"immunoglobulins, normal human, for extravascular adm.",,
S01JA,colouring agents,,
C10AX21,phospholipids,,
L03AB61,"peginterferon alfa-2a, combinations",,
H02AB14,cloprednol,,
N05CP07,hops,,
J06AA04,botulinum antitoxin,,
N06BA05,pemoline,40,O
A10BJ04,albiglutide,5.7,P
S02BA56,"dexamethasone, combinations",,
C02CA,alpha-adrenoreceptor antagonists,,
S01XA15,ascorbic acid,,
S01GA53,"xylometazoline, combinations",,
R05DP,herbal antitussives,,
L03AX14,histamine dihydrochloride,0.5,P
C01BD03,bunaftine,,
R01AX,other nasal preparations,,
N06BX02,pyritinol,0.6,O
L03AH,homeopathic and anthroposophic immune stimulants,,
C02LK,"alkaloids, excl. rauwolfia, in combination with diuretics",,
A11J,"other vitamin products, combinations",,
L03AB01,interferon alfa natural,2,P
V04CA02,glucose,,
C05BP02,vine leaves,,
A06AD16,mannitol,,
C01AB51,"proscillaridin, combinations",,
N02C,antimigraine preparations,,
N02BB53,"aminophenazone, combinations excl. psycholeptics",,
V09B,skeleton,,
D06AX08,tyrothricin,,
A03FA07,itopride,,
M05BC02,eptotermin alfa,,
C05AH,homeopathic and anthroposophic hamorrhoid preparations for topical application,,
V03AB03,edetates,,
C08CA14,cilnidipine,10,O
C07CA,"beta blocking agents, non-selective, and other diuretics",,
S01BB03,fluorometholone and mydriatics,,
R03AC02,salbutamol,0.8,Inhal
C05BB01,monoethanolamine oleate,,
D10AX59,"hexachlorophene, combinations",,
A12CC04,magnesium citrate,2,O
R01AD61,"triamcinolone, combinations",,
N02AB02,pethidine,0.4,O
V10X,other therapeutic radiopharmaceuticals,,
C05BP30,mixes,,
M05BC,bone morphogenetic proteins,,
N01BX04,capsaicin,,
R05DP05,marshmallow root and leaves**,,
D07XB,"corticosteroids, moderately potent, other combinations",,
B02BC13,polyglycolic acid,,
S01GA55,"phenylephrine, combinations",,
S01AX16,picloxydine,,
V09AX01,indium (111in) pentetic acid,,
R01AC06,thonzylamine,,
H,"systemic hormonal preparations, excl. sex hormones and insulins",,
D06BB10,imiquimod,,
A07FA01,lactic acid producing organisms,,
N03AX30,beclamide,,
N02BB73,"aminophenazone, combinations with psycholeptics",,
D10BH,homoopathic and anthroposophic acne remedies for systemic use,,
D07AB21,clocortolone,,
D08AH60,"cloxiquin, combinations",,
D04AA13,dimetindene,,
C05AA54,"prednisolone, combinations",,
M02AA06,etofenamate,,
D07AC06,diflucortolone,,
M02AC56,"bornylsalicylate, combinations",,
A02AB04,dihydroxialumini sodium carbonate,4,O
R05FP30,"plant antitussives and expectorants, combinations",,
C02KH01,visa album,,
R05FA02,opium derivatives and expectorants,,
R05DB14,fedrilate,0.2,O
D07CA,"corticosteroids, weak, combinations with antibiotics",,
D01AC19,efinaconazole,,
A12A,calcium,,
C09BB10,trandolapril and verapamil,,
C07AA03,pindolol,15,P
G01AA,antibiotics,,
L03AX,other immunostimulants,,
N06AP51,"st. john's wort, combinations",,
B03BA04,cobamamide,,
J01EB,short-acting sulfonamides,,
N01AB02,chloroform,,
V07AU,antiseptics,,
J01EB05,sulfafurazole,4,P
N06DX57,"dihydroergotoxin, combinations",,
N05BA02,chlordiazepoxide,30,O
C07AA31,bunnitrolol,,
A07XP30,mixes,,
L02BG09,testolactone,,
R01AB08,tuaminoheptane,,
R01AX06,mupirocin,,
V09HA03,technetium (99mtc) antigranulocyte antibody,,
N06AX24,vilazodone,,
C04BA02,"papaverin, combinations",,
J05AP52,"dasabuvir, ombitasvir, paritaprevir and ritonavir",,
N01AX13,nitrous oxide,,
M09AX19,beta sitosterol,,
L01D,cytotoxic antibiotics and related substances,,
C10BX07,"rosuvastatin, amlodipine and lisinopril",,
G01AX75,"guajazulene, combinations",,
A07DA51,"diphenoxylate, combinations",,
J01CA05,carindacillin,4,O
H05BX,other anti-parathyroid agents,,
D06AA05,meclocycline,,
N02BA51,"acetylsalicylic acid, combinations excl. psycholeptics",,
J05AX09,maraviroc,0.6,O
C09DA06,candesartan and diuretics,,
V07AS,stomi equipment,,
C04AX24,visnadine,0.6,O
J01XD01,metronidazole,1.5,P
C10BA01,lovastatin and nicotinic acid,,
L01BC52,"fluorouracil, combinations",,
P02DX,other anticestodals,,
L01AX04,dacarbazine,,
A11DA02,sulbutiamine,,
C10AB02,bezafibrate,0.6,O
N02AJ01,dihydrocodeine and paracetamol,,
D02BA02,octinoxate,,
H03BP01,wolfstrap herb,,
C01AA07,deslanoside,1,P
J07AK,plague vaccines,,
D07BB02,desonide and antiseptics,,
GO3CA04,,,
A04AB52,"dimenhydrinate, combinations",,
C09XA,renin-inhibitors,,
R05FB,other cough suppressants and expectorants,,
N05CF01,zopiclone,7.5,O
C07CB22,metoprolol and chlorotalidone,,
A03FA01,metoclopramide,30,O
G04CX02,sabalis serrulatae fructus,,
B01AB07,parnaparin,3.2,P
R01AB05,ephedrine,,
D01AA01,nystatin,,
N07BB03,acamprosate,2,O
C09DX03,"olmesartan medoxomil, amlodipine and hydrochlorothiazide",,
A10BD22,metformin and evogliptin,,
N03AE02,midazolam,"7,5",SL
A02BX51,"carbenoxolone, combinations excl. psycholeptics",,
J01DB10,cefacetrile,,
N05AH05,asenapine,20,O
J04A,drugs for treatment of tuberculosis,,
H03CA,iodine therapy,,
L01XC18,pembrolizumab,,
B01AC22,prasugrel,10,O
A10AC30,combinations,40,P
V08AA05,ioxitalamic acid,,
S01EB08,aceclidine,,
S01AA07,framycetin,,
C01CA07,dobutamine,0.5,P
P01CX,other agents against leishmaniasis and trypanosomiasis,,
L01AA01,cyclophosphamide,,
V08AD02,iopydol,,
N05AA05,triflupromazine,0.1,O
J01GA,streptomycins,,
R01AA13,tymazoline,,
N02BA65,carbasalate calcium combinations excl. psycholeptics,,
L04AB03,afelimomab,,
C05AA10,fluocinolone acetonide,,
R05CP13,senegal root**,,
A10BH06,gemigliptin,50,O
L01CA06,vintafolide,,
S01FA06,tropicamide,,
N06DX30,combinations,,
M02AP06,symphytum root and herb,,
C04AC52,"pyridylcarbinol, combinations",,
L02BB03,bicalutamide,50,O
G03AB03,levonorgestrel and ethinylestradiol,,
R06AA06,chlorphenoxamine,80,O
N05AD09,fluanisone,,
H02CA01,trilostane,0.36,O
R05XA12,"phenacetin, combinations",,
J07AX52,"lactobacillus strains, combinations",,
A04AD12,aprepitant,95,O
S02DH01,officinal levisticum,,
J01RA07,"azithromycin, fluconazole and secnidazole",,
D07AC13,mometasone,,
D05BX01,fumaric acid,,
C07BA07,sotalol and thiazides,,
C03BA03,clopamide,10,O
L01XC31,avelumab,,
C01AC03,cymarin,2.5,O
J01EB02,sulfamethizole,4,O
C04AD,purine derivatives,,
M01AX18,feprazone,,
J04AA01,4-aminosalicylic acid,12,O
J01GB64,"framycetin, combinations",,
A02BX13,alginic acid,,
R05CB50,"other mucolytics, combinations",,
H03BA03,benzylthiouracil,,
S01BB05,dexamethasone and mydriatic drugs,,
V70AA01,methadone preparations,,
N06DX17,nicotinyl alcohol (pyridylcarbinol),"0,3",O
G03XC,selective estrogen receptor modulators,,
A02BX06,proglumide,1.2,O
D11AX29,microorganisms,,
R01BX,other systemic rhinologic drugs,,
R05GA01,"doxycycline, combinations","0,1",O
D05AD01,trioxysalen,,
H01BA02,desmopressin,25,N
M02BX01,marshland,,
C08CX,other selective calcium channel blockers with mainly vascular effects,,
V08AC02,iotroxic acid,,
R02AA18,hexamidine,,
G04BD12,mirabegron,50,O
S01XA14,heparin,,
D08AX14,basic bismuth gallate,,
B03AA06,ferrous succinate,0.2,O
J01FA07,josamycin,2,O
L02BX03,abiraterone,1,O
V09BA04,technetium (99mtc) butedronic acid,,
R07AA05,natural phospholipids from bovine lung,"0,16",Instill
G04CA02,tamsulosin,0.4,O
S01EB21,pilocarpine and phenylephrine,,
D09AA13,iodoform,,
P03AC52,"bioallethrin, combinations",,
C09AA16,imidapril,10,O
V60A,homoopathica,,
C02CA04,doxazosin,4,O
A02BC05,esomeprazole,30,P
V03AE,drugs for treatment of hyperkalemia and hyperphosphatemia,,
A12AA01,calcium phosphate,2,O
L01XE29,lenvatinib,,
V09EA,"technetium (99mtc), inhalants",,
J07CA01,diphtheria-poliomyelitis-tetanus,,
D06BB08,ibacitabine,,
A11CC08,trans-calcifediol,,
R05DA12,acetyldihydrocodeine,30,O
M03AC09,rocuronium bromide,,
R07AH10,various,,
N05BC51,"meprobamate, combinations",,
A01AE53,"benzocaine, combinations",,
R03BA05,fluticasone,0.6,Inhal
M03AC07,doxacurium chloride,,
D11AF07,chloroacetic acid,,
D11AG02,camomile bleeding,,
R03BB54,"tiotropium bromide, combinations",,
D02AA02,phenylmethylpolysiloxane,,
S02BA01,hydrocortisone,,
V09CA,technetium (99mtc) compounds,,
N07XB54,"uridine phosphate, combinations",,
A07XH10,various,,
C06A,antihypotonics,,
L03,immunostimulants,,
A11CC02,dihydrotachysterol,1,O
S01HA30,combinations,,
J01MA19,garenoxacin,,
C03EA16,remecticide and triamteren,,
C05AD,local anesthetics,,
A02XA,other medicines for acid-related diseases,,
J01DB08,cefapirin,4,P
C08EA,phenylalkylamine derivatives,,
A12CB05,zinc hydrogen aspartate,20,O
N03AA03,primidone,1.25,O
J01MB06,cinoxacin,1,O
A01AB75,"chlorophenol, combinations",,
M04AB01,probenecid,1,O
M03BX06,mephenesin,,
B03BA,vitamin b12 (cyanocobalamin and analogues),,
C01DX51,"itramin tosilate, combinations",,
J01CE11,clemizol penicillin,,
A01AA03,olaflur,1.1,O
R03AK09,formoterol and mometasone,,
J07CA10,typhoid-hepatitis a,,
A07AC,imidazole derivatives,,
C05CH20,mixes,,
A11CC01,ergocalciferol,,
V04CN20,mixes,,
A10BD15,metformin and dapagliflozin,,
A08AA09,mefenorex,,
L04AC08,canakinumab,2.7,P
N05CM10,hexapropymate,0.4,O
C10BX11,"atorvastatin, amlodipine and perindopril",,
V09XA01,iodine (131i) norcholesterol,,
J01M,quinolone antibacterials,,
L03AA10,lenograstim,0.35,P
H01BA03,lypressin,20,N
C02CC01,betanidine,0.1,O
V08CX,other magnetic resonance imaging contrast media,,
M05BX53,strontium ranelate and colecalciferol,,
V90O,billing of buprenorphine or subutex single doses,,
V04CZ,means for diagnostic preparation,,
N05AC,phenothiazines with piperidine structure,,
G03AA,"progestogens and estrogens, fixed combinations",,
A02AD01,ordinary salt combinations,,
N06AB09,etoperidone,,
V04BA09,urobilinogen test zone,,
D06AX01,fusidic acid,,
C10AA06,cerivastatin,0.2,O
A11ED,vitamin b-complex with anabolic steroids,,
C05BB04,sodium tetradecyl sulfate,,
D07BC01,betamethasone and antiseptics,,
C10BX14,"rosuvastatin, amlodipine and perindopril",,
N01BA,esters of aminobenzoic acid,,
G01AX66,"octenidine, combinations",,
N01BA53,"tetracaine, combinations",,
A12BA51,"potassium chloride, combinations",,
P01AC01,diloxanide,1.5,O
G01AX02,inosine,,
A06AG04,glycerol,,
C10BX13,"rosuvastatin, perindopril and indapamide",,
C09DA26,candesartan and hydrochlorothiazide,,
R06AC06,thonzylamine,,
N02CA07,lisuride,,
N03AD,succinimide derivatives,,
R02AD04,dyclonine,,
L03AB11,peginterferon alfa-2a,26,P
A07XP05,apple fruit extract,,
V08DA05,sulfur hexafluoride,,
N01AX10,propofol,,
A03EA06,"ethaverin, combinations",,
M03AA04,dimethyltubocurarine,,
J05AF03,zalcitabine,2.25,O
B02AB,proteinase inhibitors,,
N07AX02,choline alfoscerate,,
C03XA01,tolvaptan,30,O
A03AD,papaverine and derivatives,,
A12CC30,magnesium (different salts in combination),,
R05CA11,levoverbenone,,
A12AA08,calcium glycerylphosphate,,
N07BB06,clonidine,,
C05CA20,mixes,,
D07BB05,dexamethasone and antiseptics,,
G03FA10,norgestrel and estrogen,,
R05DB28,dimethoxanate,,
A07EC02,mesalazine,1.5,O
S01XA11,nandrolone,,
L01C,plant alkaloids and other natural products,,
B01AC12,sulfin pyrazone,,
A10BA02,metformin,2,O
J01DD11,cefpiramide,2,P
V03AB09,dimercaprol,,
A02BC,proton pump inhibitors,,
L04AA31,teriflunomide,14,O
S01EC54,"brinzolamide, combinations",,
N02CB,corticosteroid derivatives,,
V03ZB03,,,
A02AA10,combinations,,
V04BA03,blood test zone,,
A07BC,other intestinal adsorbents,,
A03AB06,otilonium bromide,,
S01AE08,besifloxacin,,
L04AA13,leflunomide,20,O
A09AA57,"aspergillus oryzae, combinations",,
M02AA14,fentiazac,,
M02AA08,felbinac,,
G03DB01,dydrogesterone,10,O
C08CA05,nifedipine,30,O
B06AC04,conestat alfa,3.5,P
A07EF,microbial antiphlogistics,,
C09AA02,enalapril,10,O
N05BA03,medazepam,20,O
M03BA51,"phenprobamate, combinations excl. psycholeptics",,
L01XE23,dabrafenib,,
L03AX31,leukocytes,,
R05XH51,"echinacea angustifolia, combinations",,
R01A,decongestants and other nasal preparations for topical use,,
D04AA02,mepyramine,,
A06AH,peripheral opioid receptor antagonists,,
N02BG06,nefopam,,
M02AA02,mofebutazone,,
L01BB05,fludarabine,,
C03DB02,triamterene,0.1,O
L01XX46,olaparib,,
L01XC14,trastuzumab emtansine,,
D06BA01,silver sulfadiazine,,
N06BX03,piracetam,2.4,O
J01CE06,penamecillin,1.05,O
A13AA,tonics,,
N02AE01,buprenorphine,1.2,P
J01CF03,meticillin,4,P
G01AX20,mixes,,
C01BA13,hydroquinidine,,
A07EA04,betamethasone,,
L04AA22,abetimus,,
H01AA01,corticotropin,25,P
N01BC01,cocaine,,
V06CX50,"diatetics other than suckling foods, combinations",,
A02BA07,ranitidine bismuth citrate,0.8,O
R03DB12,etofylline and sympathomimetics,,
R03BB04,tiotropium bromide,5,Inhal
N06AX12,bupropion,0.3,O
N05BE01,buspirone,30,O
N04BX03,budipine,,
J07AR,typhus (exanthematicus) vaccines,,
C07AA16,tertatolol,5,O
A10BD07,metformin and sitagliptin,,
L04AC12,brodalumab,,
D05AA50,"other tars, combinations",,
G02CH30,"homeopathic and anthroposophic climacteric therapeutics, combinations",,
J06BB12,"encephalitis, tick borne immunoglobulin",,
C01EZ,,,
R03CC04,fenoterol,10,O
L01BC73,"tegafur, gimeracil and oteracil","67,5",O
B02BD32,efmoroctocog alfa,500,P
A11GB01,ascorbic acid (vit c) and calcium,,
V04CO04,ck-mb test zone,,
C09DX01,"valsartan, amlodipine and hydrochlorothiazide",,
G01AX01,clodantoin,0.1,V
R01AD52,"prednisolone, combinations",,
D08AH02,chlorquinaldol,,
C01BB,"antiarrhythmics, class ib",,
N05AB09,butaperazine,10,O
A03P,other herbal preparations,,
R03AL03,vilanterol and umeclidinium bromide,,
D04AA12,tolpropamine,,
A13AA50,tonics,30,O
D11AF03,potassium hydroxide,,
D05AA,tars,,
C02KX06,sildenafil,60,O
N07BB01,disulfiram,0.2,O
G02CP04,rhaponticrhubarb root,,
D10AF07,chlortetracycline,,
J01DH02,meropenem,2,P
C05CA05,hidrosmin,,
J05AH02,oseltamivir,0.15,O
A04AH10,various homeopathic and anthroposophic antiemetics,,
A03CA34,propantheline and psycholeptics,,
V09DB,"technetium (99mtc), particles and colloids",,
P01BX01,halofantrine,1.5,O
G03GA09,corifollitropin alfa,0.15,P
D10BA,retinoids for treatment of acne,,
A10AF01,insulin (human),15,Inhal
C01CA13,prenalterol,10,P
R03CC53,"terbutaline, combinations",,
B02BA02,menadione,10,O
A02AD04,hydrotalcite,,
N02CX03,iprazochrome,24,O
R02AX09,ems salt,,
G01AF01,metronidazole,0.5,V
V04CN10,phenylcyclohexylpiperidine test zone,,
N01AF03,thiopental,,
J07BH01,"rota virus, live attenuated",,
R05FH,homeopathic and anthroposophic antitussives and expectorants,,
N05AL05,amisulpride,0.4,O
J07BK01,"varicella, live attenuated",,
C01CA12,dimetofrine,,
V04CF,tuberculosis diagnostics,,
B01AD10,drotrecogin alfa (activated),40,P
A07AA10,colistin,,
B03AA04,ferrous carbonate,0.2,O
D10AX61,"salicylic acid, combinations",,
D06BA02,sulfathiazole,,
R01AX23,menthol,,
C07DA,"beta blocking agents, non-selective, thiazides and other diuretics",,
C03AB,thiazides and potassium in combination,,
D10AA,"corticosteroids, combinations for treatment of acne",,
C05CP04,mouse spike,,
S01XA39,vincamine,,
L01XC19,blinatumomab,,
A03AB18,prifinium bromide,,
D06AA01,demeclocycline,,
M02BB53,"monoethanolamine salicylate, combinations",,
A05AA03,cholic acid,,
J01DC02,cefuroxime,0.5,O
C01C,cardiac stimulants excl. cardiac glycosides,,
V04CX13,helicobacter pylori test,,
C05CA04,troxerutin,,
L01XC25,mogamulizumab,,
N02BE,anilides,,
L01XX54,niraparib,,
V09CA02,technetium (99mtc) succimer,,
V04CN13,buprenorphine test zone,,
D07XC04,diflucortolone,,
B05BB12,wrestling,,
A14AB03,oxabolone cipionate,,
S01XC58,"carmellose, combinations","0,4",TD
M09AH01,guajacum,,
L01XE15,vemurafenib,,
R06AX21,tritoqualine,,
V04CX22,prostate-specific antigen test zone,,
C09BB,ace inhibitors and calcium channel blockers,,
R03DA63,"caffeine, combinations excl. psycholeptics",,
L04AC01,daclizumab,5,P
S01XB54,"iodide, combinations",,
A06AA02,docusate sodium,0.15,O
N05AL01,sulpiride,0.8,O
J01EE02,sulfadiazine and trimethoprim,,
V04CG05,methylthioninium chloride,,
N02CX12,topiramate,"0,1",O
D05AD02,methoxsalen,,
C05CP51,"horse chestnut seeds, combinations",,
N06AA12,doxepin,0.1,O
B05CA10,combinations,,
R03BA04,betamethasone,,
R03CC63,"clenbuterol, combinations",,
R07AX01,nitric oxide,,
A08AA57,"cathin, combinations",,
R03BA06,triamcinolone,,
P01BC02,mefloquine,1,O
C01CA11,mephentermine,30,P
A05C,drugs for bile therapy and lipotropics in combination,,
R03BB01,ipratropium bromide,0.12,Inhal
N07BA02,bupropion,"0,3",O
A03DA06,trospium and analgesics,,
N05AB01,dixyrazine,50,O
H02BX01,"methylprednisolone, combinations",,
S01HA03,tetracaine,,
D04AA03,thenalidine,,
A10BD13,metformin and alogliptin,,
N05BB01,hydroxyzine,75,O
N05HH10,various,,
C03BB05,mefruside and potassium,25,O
D10AF05,nadifloxacin,,
C07CB08,celiprolol and other diuretics,,
V04CA,tests for diabetes,,
A07AA03,natamycin,0.3,O
G03X,other sex hormones and modulators of the genital system,,
B03AD03,ferrous sulfate,,
P02CA02,tiabendazole,3,O
D09AC50,"other dressings, combinations",,
V09GA,technetium (99mtc) compounds,,
S01EX02,dapiprazole,,
V04CG04,pentagastrin,,
L01AA07,trofosfamide,,
C10AX14,alirocumab,5.4,P
V04CX,other diagnostic agents,,
C09BA15,zofenopril and diuretics,,
A05BA61,"betaine, combinations",,
J07CA03,diphtheria-rubella-tetanus,,
G04BX15,pentosan polysulfate sodium,,
S02AA16,ofloxacin,,
L04AC16,guselkumab,,
B03AC02,iron(iii)oxide-saccharose complex,"0,1",P
V04CO01,cardiac fatty acid binding protein (h-fabp),,
A03AB12,mepenzolate,0.1,O
N05AC01,periciazine,50,O
H01AB01,thyrotropin alfa,0.9,P
C07AB09,esmolol,2.5,P
S03D,other ophthalmological and otological preparations,,
N04BA13,levodopa in combination with carbidopa and entacapone,"0,45",O
D11AX,other dermatologicals,,
R03DA10,bufylline,,
V09IA04,technetium (99mtc) votumumab,,
D11,other dermatological preparations,,
R06AC03,chloropyramine,0.15,O
N05C,hypnotics and sedatives,,
C02AA52,"reserpine, combinations",,
C05AA58,"fluocortolone, combinations",,
A09AC50,"other enzymes and acids, combinations",,
V09I,tumour detection,,
A03AX58,"alverine, combinations",,
L01XC10,ofatumumab,,
C05BB,sclerosing agents for local injection,,
D07AD,"corticosteroids, very potent (group iv)",,
G04CX03,mepartricin,,
A03BA,"belladonna alkaloids, tertiary amines",,
A01AD22,lactic acid,,
J07BC03,"hepatitis a, purified antigen",,
J05AR17,emtricitabine and tenofovir alafenamide,,
D10AA02,methylprednisolone,,
D01AE19,tolciclate,,
J01GB53,"gentamicin, combinations",,
A10AB06,insulin glulisine,40,P
P01AX07,trimetrexate,85,P
A11B,"multivitamins, plain",,
A01AB05,polynoxylin,0.18,O
R03BB03,stramoni preparations,,
A01AE02,tetracaine,,
G04BX12,phenyl salicylate,2,O
D07XC02,desoximetasone,,
M01AX25,chondroitin sulfate,,
C02DB04,cadralazine,15,O
A03AB04,penthienate,15,O
R06AA11,piprinhydrinate,,
V08DA02,microparticles of galactose,,
D07X,"corticosteroids, other combinations",,
J01EE06,sulfadiazine and tetroxoprim,,
G01AX16,hexetidine,,
G03E,androgens and female sex hormones in combination,,
S02AA11,polymyxin b,,
S01XA23,sirolimus,,
D09AA06,triclosan,,
D10AX,other anti-acne preparations for topical use,,
B03AA03,ferrous gluconate,0.2,O
D06BB02,tromantadine,,
D06BP02,sage leaves,,
N02AC03,piritramide,45,P
R01AD11,triamcinolone,0.22,N
D03AP03,arnica bleeds,,
C01AA05,digoxin,0.25,O
J07BF02,"poliomyelitis oral, trivalent, live attenuated",,
R06AC,substituted ethylene diamines,,
M05BA,bisphosphonates,,
L01XE13,afatinib,,
M01AB09,lonazolac,0.6,O
D05BZ,,,
N07BC21,buprenorphine and naloxone,8,SL
A01AB15,tibezonium iodide,,
B03AB05,ferric oxide polymaltose complexes,90,O
R05DB53,"clobutinol, combinations",,
G03CC05,diethylstilbestrol,,
J01AA10,penimepicycline,,
B02AA01,aminocaproic acid,16,O
J01DD62,cefoperazone and beta-lactamase inhibitor,4,P
M05BB08,"zoledronic acid, calcium and colecalciferol, sequential",,
D01AC51,"clotrimazole, combinations",,
B01AB09,danaparoid,1.5,P
N03AG05,progabide,,
V09DA03,technetium (99mtc) lidofenin,,
D03AX13,betulae cortex,,
M05,drugs for treatment of bone diseases,,
D07BD,"corticosteroids, very potent, combinations with antiseptics",,
J07A,bacterial vaccines,,
R05DB68,"prenoxdiazine, combinations",,
V09FX04,sodium iodide (124i),,
D11AB58,"paraffin, combinations",,
N06BA09,atomoxetine,80,O
A01AB04,amphotericin b,40,O
V04CM02,fertilitates test strips,,
V09AX05,florbetapir (18f),,
D07CC06,fluocortolone and antibiotics,,
M01AE01,ibuprofen,1.2,O
V09IA08,technetium (99mtc) etarfolatide,,
A08AA53,"amfepramon, combinations",,
G03CC06,estriol,,
D10AX03,azelaic acid,,
R03AC18,indacaterol,0.15,Inhal
J01EB70,"other short-acting sulfonamides, combinations",,
P01BF04,"artesunate, sulphamethopyrazine and pyrimethamine",,
M02AX69,"bituminosulfonates, combinations",,
R06AX13,loratadine,10,O
C09AA05,ramipril,2.5,O
C02LG03,picodralazine and diuretics,,
C09BA01,captopril and diuretics,,
N06AP01,st. john's wort**,3,O
L02BB02,nilutamide,0.3,O
A02AG20,"antacids, combinations with several spasmolytics",,
P01AB51,"metronidazole, combinations",,
A13AP30,mixes,,
G03F,progestogens and estrogens in combination,,
L01XC03,trastuzumab,,
D01BA01,griseofulvin,0.5,O
N05CA19,thiopental,,
J07AG01,"hemophilus influenzae b, purified antigen conjugated",,
M02AP05,pine needleol,,
D02BA20,mixes,,
V07AI02,other aids without a central pharmaceutical number provided in connection with an individually manufactured parenteral solution,,
A10BJ,glucagon-like peptide-1 (glp-1) analogues,,
N05AB10,perazine,0.1,O
N02AG01,morphine and antispasmodics,,
C02KX02,ambrisentan,7.5,O
G03AC07,norgestrienone,,
R02AA03,dichlorobenzyl alcohol,,
M01AE53,"ketoprofen, combinations",,
A07AA54,"streptomycin, combinations",,
B02BC07,collagen,,
R05XH02,ferrum phosphoricum,,
C07BG01,labetalol and thiazides,,
A06AH03,naloxegol,25,O
N04AA09,phenglutarimide,,
C02C,"antiadrenergic agents, peripherally acting",,
L01XE35,osimertinib,,
R03BA,glucocorticoids,,
A05BZ,ailgeno,,
A14AA07,prasterone,,
P01BE,"artemisinin and derivatives, plain",,
D08AL01,silver nitrate,,
S03CA01,dexamethasone and antiinfectives,,
A12AA,calcium,,
B02BX02,carbazochrome,,
J07AM52,"tetanus toxoid, combinations with tetanus immunoglobulin",,
A14AA03,metandienone,5,O
G03FB05,norethisterone and estrogen,,
A06AD04,magnesium sulfate,7,O
N06CA06,nortriptyline and psycholeptics,,
C10AX05,meglutol,,
R02AB80,"gramicidin, combinations",,
N05CP30,mixes,,
M02AB51,"capsaicin, combinations",,
A03AH,other homeopathic and anthroposophic remedies for functional gastrointestinal disorders,,
V70XA,formulations (also formulation substances unmixed),,
V09GA01,technetium (99mtc) sestamibi,,
S01BA11,desonide,,
B05XA08,sodium acetate,,
M02AX56,"alpha pinene, combinations",,
D05AX01,fumaric acid,,
R01BA03,phenylephrine,40,O
M02AP56,"symphytum root and herb, combinations",,
D10AD02,retinol,,
C07FB12,nebivolol and amlodipine,,
A03FA51,"metoclopramide, combinations",,
D08AE03,phenol,,
A06AX03,lubiprostone,,
B01AE07,dabigatran etexilate,0.3,O
A02AB06,aloglutamol,,
R03BA09,fluticasone furoate,,
M01CC,penicillamine and similar agents,,
M09AB02,collagenase clostridium histolyticum,0.9,P
N07XX09,dimethyl fumarate,0.48,O
J01EC03,sulfamoxole,1,O
